identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
HD 12055;01 57 10.0796141472 -47 23 07.007133372;5.695;4.834;nan
* psi Phe;01 53 38.7410337 -46 18 09.604795;6;4.41;2.68
* s Vel B;10 31 56.6409463416 -45 04 10.754644116;5.87;5.99;nan
* s Vel;10 31 57.0 -45 04 05;5.01;5.16;nan
* s Vel A;10 31 57.4365302496 -45 04 00.184051308;5.499;5.668;nan
HD 91437;10 32 33.6095428200 -44 37 06.620128608;6.818;5.903;nan
HD 89736;10 20 16.7155651392 -47 41 56.725799604;7.293;5.614;nan
* Q Vel;10 08 56.2395143 -51 48 40.538708;4.711;4.845;nan
V* LW Vel;10 13 22.8441405312 -51 13 58.690503876;5.519;5.265;nan
* phi Vel;09 56 51.7416742 -54 34 04.039043;3.35;3.45;3.51
* O Vel;09 43 42.2345011896 -53 53 28.614477444;5.504;5.544;nan
HD 84228;09 41 47.9267653272 -55 12 49.541406840;5.87;5.98;nan
HD 84152;09 41 02.2082972568 -57 15 34.262171532;6.874;5.794;nan
* N Vel;09 31 13.3189137 -57 02 03.757780;4.691;3.139;nan
V* V482 Car;09 30 23.4265608864 -58 21 42.608880072;7.536;5.888;nan
HD 80094;09 15 17.6388490752 -58 23 18.159920484;5.894;5.993;nan
* a Car;09 10 58.0863884 -58 58 00.817205;3.25;3.4;nan
HD 79698;09 12 55.6309265304 -59 24 50.144423400;6.37;5.532;nan
* iot Car;09 17 05.4068572 -59 16 30.835305;2.44;2.26;2.02
* c Car;08 55 02.8282209 -60 38 40.599812;3.74;3.8;nan
HD 77615;09 00 45.7416851856 -60 57 49.782938436;6.994;5.78;nan
HD 76538;08 53 48.6569950608 -60 21 14.070621096;5.672;5.768;nan
HD 73887;08 37 18.8332010592 -62 51 12.472994124;6.48;5.456;nan
HD 71863;08 25 51.5958236880 -64 36 02.230095168;6.915;5.94;nan
HD 70514;08 18 18.8068680864 -65 36 47.491954416;6.21;5.056;nan
HD 64484;07 49 40.9910989200 -66 11 45.504494268;5.724;5.762;nan
HD 53501;06 59 50.5350748656 -67 54 59.200292484;6.57;5.17;nan
* del Vol;07 16 49.8238716 -67 57 25.748362;4.78;3.99;3.33
* nu. Dor;06 08 44.2619933 -68 50 36.279685;4.975;5.038;nan
* pi.01 Dor;06 22 38.2757577456 -69 59 02.560486776;7.054;5.542;nan
* pi.02 Dor;06 25 28.6306869576 -69 41 25.080005724;6.35;5.38;nan
LH 100;05 38 40.0 -69 05 48;5.81;5.4;nan
* tet Dor;05 13 45.4557074664 -67 11 06.929786400;6.097;4.801;nan
NAME LMC;05 23 34.6 -69 45 22;nan;0.4;nan
* bet Ret;03 44 11.9814420749 -64 48 24.890875477;4.968;3.833;nan
* zet02 Ret;03 18 12.8188824117 -62 30 22.904711032;5.814;5.228;nan
* zet01 Ret;03 17 46.1634549490 -62 34 31.152456644;6.18;5.54;5
* kap Ret;03 29 22.6774206459 -62 56 15.104181615;5.1;4.71;nan
HD 14641;02 19 54.2715460944 -55 56 41.269170048;7.359;5.794;nan
* 120 Phe;01 46 05.9653808568 -50 48 58.516077564;7.08;5.49;4
V* BD Phe;01 50 54.4352128992 -50 12 22.092503544;6.08;5.929;nan
* chi Eri;01 55 57.4597664541 -51 36 31.959325912;4.55;3.7;nan
* gam Phe;01 28 21.9272669 -43 19 05.650173;4.98;3.41;nan
* t Vel;10 32 56.8607943672 -47 00 12.064355928;6.116;5.027;nan
* p Vel;10 37 18.13995 -48 13 32.2349;4.13;3.84;3.57
HD 85655;09 51 12.0754130112 -59 25 32.796483996;7.133;5.778;nan
HD 84121;09 40 42.5622541944 -57 59 00.633290964;5.492;5.307;nan
* h Car;09 34 26.6508147 -59 13 47.107031;4.09;4.09;4
* m Car;09 39 20.9994838 -61 19 41.016686;4.432;4.498;nan
HD 81613;09 24 05.4952456680 -61 38 56.056764840;7.057;5.988;nan
HD 81830;09 25 27.2342168496 -61 57 01.721232036;5.91;5.77;nan
HD 82347;09 28 47.1053722608 -62 16 23.287168416;7.015;5.904;nan
* i Car;09 11 16.7208929 -62 19 01.129500;3.774;3.943;nan
* k Car;09 20 56.8130707392 -62 24 16.681055508;5.733;4.8;nan
* alf Vol;09 02 26.7959209 -66 23 45.872743;4.144;3.99;nan
HD 76143;08 50 34.8161379696 -66 47 34.739009484;5.741;5.329;nan
* bet Vol;08 25 44.1947206 -66 08 12.804954;4.896;3.759;nan
* eps Vol;08 07 55.7944779456 -68 37 01.432689816;4.27;4.398;nan
* gam02 Vol;07 08 44.8656955896 -70 29 56.149447560;4.774;3.746;nan
* gam01 Vol;07 08 42.3702708288 -70 29 49.526709864;6.046;5.623;nan
* iot Vol;06 51 26.9851666008 -70 57 48.277428300;5.287;5.395;nan
* bet Men;05 02 42.9980681352 -71 18 51.477018840;6.298;5.294;nan
* mu. Men;04 43 03.9642436128 -70 55 51.694470264;5.391;5.511;nan
HD 22252;03 30 51.7078870944 -66 29 22.962633936;5.746;5.8;nan
* bet Hor;02 58 47.7963839256 -64 04 16.633804404;5.094;4.969;nan
* nu. Hor;02 49 01.4872939344 -62 48 23.479025760;5.352;5.253;nan
* gam Hor;02 45 27.4775218536 -63 42 16.392445812;6.672;5.743;nan
* lam Hor;02 24 53.9099798448 -60 18 43.013000412;5.731;5.355;nan
* q01 Eri;01 42 29.3145176952 -53 44 26.991453264;6.05;5.52;nan
* q02 Eri;01 46 06.2629998768 -53 31 19.328527488;5.064;5.033;nan
* del Phe;01 31 15.1047497 -49 04 21.730837;4.918;3.935;nan
* nu. Phe;01 15 11.1214282378 -45 31 53.992580679;5.54;4.96;4.47
* mu. Vel A;10 46 46.187828 -49 25 12.93704;3.66;2.7;nan
* mu. Vel B;10 46 46.345096 -49 25 11.62249;6.09;5.58;nan
* mu. Vel;10 46 46.17877 -49 25 12.9244;3.59;2.69;2.01
* Y Vel;10 31 21.8208713206 -53 42 55.740987419;5.39;4.89;nan
HD 90677;10 26 48.9214744080 -54 52 38.302832496;7.098;5.546;nan
HD 89569;10 18 37.9085291952 -56 06 37.417005216;6.29;5.8;nan
* J Vel;10 20 54.7957129824 -56 02 35.655748188;4.38;4.51;6.02
V* GZ Vel;10 19 36.7507384 -55 01 45.502292;6.146;4.543;nan
HD 88661;10 11 46.4595963216 -58 03 37.958712444;5.66;5.75;5.66
HD 87283;10 02 00.0961474032 -60 25 15.207225636;6.185;5.928;7.12
V* S Car;10 09 21.8927735544 -61 32 56.433503472;7.63;5.71;5.2
NGC 3114;10 02 12.7 -60 02 28;4.47;4.2;nan
HD 85656;09 50 55.5823620600 -62 44 42.421439580;6.859;5.56;nan
* l Car;09 45 14.8117044917 -62 30 28.450312664;5.09;3.75;nan
* ups Car;09 47 06.12170 -65 04 19.2267;3.25;2.99;4.92
HD 82406;09 28 30.5329079616 -66 42 06.761817972;5.904;5.886;nan
HD 77887;09 01 08.5140077208 -68 41 02.109550236;7.494;5.87;nan
* 128 Car;09 17 17.2424584176 -68 41 22.535261160;5.79;5.39;nan
HD 72337;08 27 16.7555269464 -70 05 36.540579660;5.483;5.507;nan
* tet Vol;08 39 05.1614560248 -70 23 12.277959072;5.21;5.2;nan
* kap01 Vol;08 19 48.9642877512 -71 30 53.671337856;5.245;5.318;nan
* kap02 Vol;08 20 00.5275254216 -71 30 19.361671236;5.496;5.608;nan
* zet Vol;07 41 49.2610042 -72 36 21.956661;4.977;3.944;nan
* alf Men;06 10 14.4725823672 -74 45 10.958331816;5.798;5.069;nan
V* WX Men;05 34 44.7819577848 -73 44 28.601023056;7.54;5.85;nan
* eta Men;04 55 11.2020620016 -74 56 12.671416896;6.965;5.449;nan
HD 21722;03 25 36.2527734840 -69 20 11.163813864;6.361;5.946;nan
* zet Hyi;02 45 32.6343702336 -67 36 59.820350688;4.886;4.82;nan
* eps Hyi;02 39 35.3612092 -68 16 01.010320;4.047;4.096;nan
* alf Hyi;01 58 46.1946699 -61 34 11.494778;3.13;2.84;2.55
* p Eri B;01 39 47.5647128524 -56 11 47.213189871;6.692;5.797;nan
* p Eri A;01 39 47.8126958280 -56 11 35.944312380;6.549;5.685;6.36
* bet Phe;01 06 05.03952 -46 43 06.2785;4.19;3.3;2.59
HD 6245;01 02 49.1896926576 -46 23 50.313370020;6.286;5.387;nan
HD 96113;11 04 31.2009005688 -47 40 44.775617952;5.909;5.668;nan
V* IW Vel;10 57 07.8469466904 -50 45 54.060790752;6.061;5.898;nan
* x Vel;10 39 18.3931430 -55 36 11.762343;5.28;4.267;nan
HD 92287;10 38 02.6423647248 -57 15 22.689748476;5.749;5.876;nan
HD 93563;10 46 57.4726412 -56 45 25.890016;5.15;5.23;nan
* r Car;10 35 35.2972129 -57 33 27.483463;6.043;4.43;nan
* s Car;10 27 52.7287652 -58 44 21.850672;4.111;3.81;nan
* t01 Car;10 36 20.5194125328 -59 33 51.817814604;6.249;5.088;nan
* t02 Car;10 38 44.9962507584 -59 10 58.784700504;6.51;4.87;nan
HD 92436;10 38 59.6202794544 -58 49 00.674410152;7.593;5.979;nan
HD 90454;10 24 59.4178938240 -58 34 34.688140392;6.27;5.93;nan
IC 2581;10 27 28.1 -57 37 34;4.79;4.3;nan
V* V399 Car;10 27 24.4704883920 -57 38 19.698397044;5.18;4.7;4.1
HD 92207;10 37 27.0681291600 -58 44 00.016141092;5.95;5.45;nan
* q Car;10 17 04.9753050 -61 19 56.288301;4.899;3.35;nan
* p Car;10 32 01.4629679 -61 41 07.196308;3.18;3.27;3.22
HD 89715;10 19 05.07255 -64 40 34.5275;5.72;5.67;nan
HD 88323;10 08 42.7513285320 -65 48 55.716292908;6.22;5.258;nan
* E Car;09 05 38.3753516880 -70 32 18.594082500;4.5;4.652;nan
HD 82350;09 27 06.3100908144 -71 36 06.819297192;6.55;5.47;nan
* bet Car;09 13 11.97746 -69 43 01.9473;1.69;1.69;1.63
* G Car;09 05 08.8130929 -72 36 09.743658;5.069;4.467;nan
* eta Vol;08 22 04.4515502064 -73 23 59.925815232;5.284;5.279;nan
* gam Men;05 31 52.8525856360 -76 20 27.246061076;6.33;5.2;4.34
* gam Hyi;03 47 14.3406211 -74 14 20.268608;4.88;3.26;1.92
* tet Hyi;03 02 15.4488409848 -71 54 08.839047780;5.365;5.499;nan
* pi.02 Hyi;02 15 28.6257355872 -67 44 46.907950128;6.98;5.658;nan
* pi.01 Hyi;02 14 14.5408258488 -67 50 29.184613764;7.093;5.559;nan
* del Hyi;02 21 44.9423652192 -68 39 33.906922488;4.12;4.09;4.05
HD 10615;01 41 47.9680812504 -60 47 21.614765568;6.951;5.692;nan
HD 97495;11 12 33.0643779912 -49 06 03.591823176;5.524;5.367;nan
HD 97651;11 13 39.3932239752 -53 13 54.533999460;7.045;5.74;nan
HD 94367;10 52 30.8460074448 -57 14 25.458038304;5.41;5.25;nan
HD 93943;10 49 24.4351014720 -59 19 25.641835176;5.91;5.91;nan
* u Car;10 53 29.6561115087 -58 51 11.413331344;4.74;3.79;3.07
* T Car;10 55 17.2218023112 -60 31 01.203966480;6.98;5.92;nan
Cl Collinder 228;10 44 00.0 -60 05 12;4.58;4.4;nan
Cl Trumpler 14;10 43 56.6 -59 33 11;5.7;5.5;nan
HD 92964;10 42 40.5664557600 -59 12 56.730301164;5.78;5.51;5.3
Cl Trumpler 16;10 45 00.7 -59 42 00;5.35;5;nan
* w Car;10 43 32.2901493 -60 33 59.830760;6.219;4.545;nan
HD 94683;10 54 29.6026095360 -61 49 35.837849784;7.73;5.9;nan
HD 93163;10 43 51.1941002232 -64 14 56.550797412;5.725;5.748;nan
HD 93194;10 44 06.9154919 -63 57 39.853461;4.649;4.789;nan
HD 93549;10 46 29.5881441504 -64 15 47.653678296;5.136;5.229;nan
HD 90874;10 27 25.2837816936 -65 42 16.782780240;6.084;5.991;nan
HD 92938;10 42 14.1192723749 -64 27 59.133997516;4.68;4.82;nan
HD 93540;10 46 16.5473233704 -64 30 52.422448716;5.24;5.34;nan
HD 93607;10 46 51.2189828556 -64 23 00.504549149;4.69;4.83;nan
V* V364 Car;10 40 11.4474547680 -65 06 00.752607072;5.36;5.52;nan
HD 91056;10 28 52.5748022328 -64 10 20.207849736;7.11;5.27;nan
* tet Car;10 42 57.4019674 -64 23 40.020796;2.54;2.76;2.87
* L Car;10 22 58.1460612 -66 54 05.390302;4.86;4.99;nan
* M Car;10 13 30.6323089152 -66 22 22.120253724;5.366;5.141;nan
* ome Car;10 13 44.2173938 -70 02 16.456305;3.25;3.33;3.29
* H Car;09 31 36.2711099088 -73 04 51.287079936;7.025;5.454;nan
HD 80951;09 17 25.17081 -74 53 39.5506;5.31;5.29;nan
HD 80950;09 17 27.5695868640 -74 44 04.524994932;5.844;5.857;nan
* tet Cha;08 20 38.5405496 -77 29 04.117261;5.504;4.337;nan
* eta Cha;08 41 19.5125857944 -78 57 48.105898056;5.351;5.453;nan
* alf Cha;08 18 31.5524679912 -76 55 11.006621351;4.448;4.047;nan
* eps Men;07 25 38.0987484384 -79 05 39.087811716;6.802;5.522;nan
* tet Men;06 56 34.4743439016 -79 25 12.691763616;5.487;5.449;nan
* zet Men;06 40 02.8908749352 -80 48 48.938483052;5.799;5.606;nan
* kap Men;05 50 16.7857397880 -79 21 40.899915828;5.375;5.451;nan
* pi. Men;05 37 09.8868446714 -80 28 08.834553264;6.25;5.67;nan
* del Men;04 17 59.2697933112 -80 12 50.514833736;6.511;5.68;nan
* iot Hyi;03 15 57.6657264888 -77 23 18.434461128;5.944;5.506;nan
HD 22676;03 29 58.8930057024 -78 21 06.663387096;6.612;5.668;nan
* nu. Hyi;02 50 28.4595952008 -75 04 01.013735064;6.08;4.742;nan
* kap Hyi;02 22 52.3092955680 -73 38 44.852762652;7.084;5.987;nan
* eta02 Hyi;01 54 56.1314447592 -67 38 50.291415024;5.623;4.685;nan
HD 8810;01 25 05.3065787016 -64 22 10.113833640;7.449;5.9;nan
* iot Tuc;01 07 18.6643221624 -61 46 31.038310848;6.211;5.342;nan
* rho Phe;00 50 41.1863578128 -50 59 12.542201196;5.589;5.225;nan
HD 4391;00 45 45.5929295136 -47 33 07.142647212;6.418;5.794;nan
HD 3750;00 39 51.9501192576 -44 47 46.651236396;7.141;5.998;nan
* mu. Phe;00 41 19.5522921 -46 05 06.018390;5.56;4.59;3.84
* C01 Cen;11 35 13.2823419624 -47 22 21.284741784;7.299;5.675;nan
HD 99574;11 26 47.2654943 -53 09 35.698296;6.303;5.806;nan
* pi. Cen A;11 21 00.404593 -54 29 27.68482;3.89;4.08;nan
* pi. Cen B;11 21 00.435819 -54 29 27.90408;5.67;5.65;nan
HD 99022;11 23 08.1314505912 -56 46 45.676299216;5.797;5.807;nan
HD 97670;11 13 30.7825215120 -59 37 09.542720316;5.64;5.74;nan
* y Car;11 12 36.0132333384 -60 19 03.454684572;5.17;4.62;4.07
Cl Feinstein 1;11 06 43.2 -59 49 12;4.84;4.7;nan
Cl Collinder 240;11 11 40.00 -60 18 35.0;4.23;3.9;nan
* x Car;11 08 35.3899998 -58 58 30.135741;5.09;3.83;2.86
* z Car;11 06 32.4264772704 -62 25 26.810615136;5.622;4.606;nan
HD 97583;11 12 45.2069995560 -64 10 11.171162136;5.136;5.219;nan
* z02 Car;11 08 33.9978278688 -61 56 49.832516832;5.42;5.19;4.89
CD-70 756;10 53 42.07845 -70 43 13.2151;5.97;5.99;nan
* K Car;10 30 20.1271003 -71 59 34.060213;4.751;4.71;nan
HD 91496;10 31 02.0605182600 -73 13 17.373416232;6.588;4.92;nan
* I Car;10 24 23.7055275402 -74 01 53.799900604;4.36;4.01;3.67
* nu. Cha;09 46 20.6312904432 -76 46 34.027571676;6.334;5.44;nan
HD 76236;08 45 55.1486201400 -79 30 15.745593600;7.364;5.77;nan
* iot Cha;09 24 09.2243584872 -80 47 12.757529220;5.81;5.36;nan
HD 72922;08 24 19.8866986488 -80 54 51.217550460;6.71;5.69;nan
* ksi Men;04 58 50.9670811080 -82 28 13.857087072;6.767;5.828;nan
* nu. Men;04 20 58.0721068392 -81 34 47.718841692;6.126;5.764;nan
HD 20313;03 07 32.1623992992 -78 59 21.237885456;5.952;5.667;nan
* mu. Hyi;02 31 40.5230532192 -79 06 33.897895704;6.256;5.275;nan
* kap Tuc;01 15 46.16226 -68 52 33.3356;4.73;4.25;4.82
V* BQ Tuc;00 53 37.8777353232 -62 52 16.895532324;7.221;5.748;nan
HD 3823;00 40 25.6698671445 -59 27 16.566549816;6.44;5.9;nan
HD 4088;00 42 41.9497556976 -60 15 46.103625468;7.3;5.98;nan
* ksi Phe;00 41 46.3972997520 -56 30 04.738422240;5.9;5.7;nan
* eta Phe;00 43 21.2384109 -57 27 47.007307;4.35;4.361;nan
HD 3158;00 34 27.8315994480 -52 22 23.129463108;6.04;5.57;nan
HD 2726;00 30 26.0632693104 -48 12 53.355477672;6.005;5.664;nan
* lam02 Phe;00 35 41.1754684944 -48 00 03.264963408;5.948;5.51;nan
* lam01 Phe;00 31 24.9810454848 -48 48 12.651311736;4.79;4.77;nan
HD 102232;11 45 43.9681702344 -45 41 24.481116708;5.151;5.271;nan
* C02 Cen;11 35 55.5849115152 -47 38 29.903766684;5.494;5.252;nan
* C03 Cen;11 37 33.9972508728 -47 44 50.273112768;6.674;5.456;nan
HD 100708;11 34 56.8506966696 -49 08 11.345136936;6.54;5.5;nan
V* V914 Cen;11 40 42.4807835664 -53 58 06.983461056;7.593;5.94;nan
* A Cen;11 34 45.6558087 -54 15 50.732003;4.533;4.607;nan
* omi01 Cen;11 31 46.0686288120 -59 26 31.418490516;6.134;5.097;4.31
* omi02 Cen;11 31 48.7995475440 -59 30 56.329619148;5.63;5.14;4.61
HD 99556;11 26 35.4178089456 -61 06 54.603936720;5.44;5.54;nan
HD 100929;11 36 22.3646322240 -61 03 08.761485636;5.711;5.819;nan
HD 101021;11 37 00.5243897688 -61 17 00.396192516;6.27;5.15;nan
NGC 3766;11 36 14.6 -61 36 58;5.66;5.3;nan
HD 101189;11 38 07.2695736768 -61 49 35.512404852;5.13;5.14;nan
* lam Cen;11 35 46.8780907704 -63 01 11.405976996;3.1;3.14;3.1
HD 99453;11 25 43.1445953813 -63 58 20.917354031;5.67;5.17;nan
HD 98560;11 19 16.4335418340 -64 34 56.964338278;6.45;5.99;nan
HD 100382;11 32 19.9960982856 -66 57 42.564347316;7.025;5.881;nan
HD 96706;11 06 49.8754635288 -70 52 40.606929768;5.52;5.57;nan
HD 99264;11 24 11.1271526712 -72 15 23.789086920;5.585;5.583;nan
* gam Cha;10 35 28.1071958 -78 36 28.032088;5.7;4.12;2.86
HD 93237;10 41 51.5204253456 -79 46 59.837196072;5.892;5.969;nan
* del02 Cha;10 45 47.0048737 -80 32 24.678498;4.258;4.433;nan
* zet Cha;09 33 53.3760873 -80 56 28.533700;4.919;5.059;nan
* mu. Cha;10 00 43.7937235440 -82 12 52.812463212;5.561;5.52;nan
* zet Oct;08 56 40.9757217048 -85 39 47.347624656;5.715;5.419;nan
HD 10800;01 37 55.5566913096 -82 58 29.986653720;6.48;5.87;nan
* lam Hyi;00 48 35.4169875336 -74 55 24.367006020;6.453;5.083;nan
NAME SMC;00 52 38.0 -72 48 01;2.79;2.2;nan
* lam Tuc;00 55 00.3110878776 -69 31 37.504702308;6.537;5.454;nan
* rho Tuc;00 42 28.3718820672 -65 28 04.906571664;5.875;5.381;nan
* bet01 Tuc;00 31 32.6680562275 -62 57 29.582843542;4.249;4.289;nan
* bet02 Tuc;00 31 33.4223046159 -62 57 56.133914894;4.649;4.514;nan
* bet03 Tuc;00 32 43.9053745704 -63 01 53.402028960;5.13;5.09;nan
* B Cen;11 51 08.6912007408 -45 10 24.491699724;5.76;4.46;3.52
HD 103961;11 58 15.2248428408 -56 19 02.323327728;5.36;5.436;nan
HD 103101;11 52 10.2795315456 -56 59 15.870061680;5.607;5.559;nan
V* V918 Cen;11 47 19.1412363000 -57 41 47.402548440;7.055;5.407;nan
HD 102350;11 46 30.8225717 -61 10 42.236355;5.01;4.1;nan
HD 103884;11 57 40.0073575296 -62 26 55.494356496;5.4;5.557;nan
HD 103516;11 55 00.0118327416 -63 16 45.050747196;6.17;5.96;5.72
* j Cen;11 49 41.0673344112 -63 47 18.500667000;4.16;4.308;nan
HD 104035;11 58 47.6594393976 -64 20 22.413326208;5.76;5.6;6.93
V* V810 Cen;11 43 31.1923164072 -62 29 21.827165856;5.83;5.03;4.27
HD 101570;11 40 53.6337884256 -62 05 24.365478084;6;4.92;nan
* 12 Mus;11 39 29.59368 -65 23 51.9586;5.863;5.095;6.31
* lam Mus;11 45 36.4191583 -66 43 43.543945;3.81;3.65;3.51
* mu. Mus;11 48 14.5351009584 -66 48 53.674602912;6.282;4.728;nan
HD 101162;11 37 48.3782342832 -67 37 13.364056560;6.954;5.929;nan
HD 102839;11 49 56.6154142824 -70 13 32.840828760;6.333;4.964;nan
* pi. Cha;11 37 15.6363077 -75 53 47.562662;5.974;5.637;nan
HD 1032;00 13 19.6218796392 -84 59 38.317855128;7.49;5.77;nan
HD 11025;01 37 28.0364927424 -84 46 10.620964632;6.606;5.667;nan
* gam03 Oct;00 10 02.1724904616 -82 13 26.569490088;6.329;5.283;nan
* tet Oct;00 01 35.6994508763 -77 03 56.611267370;6.049;4.783;nan
HD 1801;00 21 28.7722407648 -77 25 36.774202008;7.351;5.959;nan
* bet Hyi;00 25 45.07036 -77 15 15.2860;3.41;2.79;2.28
HD 225253;00 04 41.3079361944 -71 26 12.804348192;5.477;5.585;nan
NGC 104;00 24 05.359 -72 04 53.20;5.78;4.09;nan
* pi. Tuc;00 20 39.0422278704 -69 37 29.707462920;5.45;5.499;nan
* zet Tuc;00 20 04.2586334956 -64 52 29.257190108;4.8;4.23;3.73
* tau Phe;00 01 04.5828903912 -48 48 35.547800004;6.62;5.698;nan
HD 224865;00 01 20.1190865520 -50 20 14.532945972;7.12;5.524;nan
* eps Phe;00 09 24.6400933968 -45 44 50.726069376;4.89;3.87;3.11
* E Cen;12 08 14.7046343328 -48 41 33.041044536;5.33;5.34;nan
HD 105382;12 08 05.2222663992 -50 39 40.575451536;4.32;4.47;4.53
* del Cen;12 08 21.4976373 -50 43 20.738614;2.39;2.52;2.48
* rho Cen;12 11 39.1197479712 -52 22 06.384420264;3.81;3.96;4.05
* del Cru;12 15 08.7167245 -58 44 56.136936;2.568;2.752;nan
* tet01 Cru;12 03 01.5012993 -63 18 46.540642;4.56;4.32;nan
* tet02 Cru;12 04 19.2200768232 -63 09 56.516665140;4.613;4.716;nan
HD 106068;12 12 21.9798609024 -62 57 02.785963212;6.28;5.98;5.64
* zet Cru;12 18 26.2420745160 -64 00 11.107331280;3.9;4.05;nan
* eta Cru;12 06 52.8981437690 -64 36 49.430521748;4.47;4.136;nan
* zet02 Mus;12 22 07.3390526592 -67 31 19.572924036;5.323;5.146;nan
* zet01 Mus;12 22 12.0289268112 -68 18 26.409276036;6.765;5.723;nan
HD 104600;12 02 37.6925929920 -69 11 32.239021344;5.8;5.876;nan
* eps Mus;12 17 34.2771607 -67 57 38.648630;5.6;4.02;2.12
* gam Mus;12 32 28.0134336 -72 07 58.759701;3.73;3.88;3.91
HD 105340;12 07 49.8757213152 -75 22 01.265009196;6.456;5.165;nan
HD 108970;12 32 09.9757273920 -73 00 03.804565428;6.984;5.874;nan
* kap Cha;12 04 46.4708324592 -76 31 08.624931564;6.517;5.024;nan
* bet Cha;12 18 20.8245890 -79 18 44.070964;4.104;4.229;nan
* kap Oct;13 40 55.4833464840 -85 47 09.752163108;5.731;5.555;nan
* chi Oct;18 54 47.1406201872 -87 36 21.035930076;6.585;5.278;nan
* tau Oct;23 28 03.7855199112 -87 28 55.966569888;6.76;5.49;nan
* sig Oct;21 08 46.8635701992 -88 57 23.398330572;5.74;5.42;nan
* ups Oct;22 31 37.5151645344 -85 58 02.110440540;6.787;5.752;nan
* bet Oct;22 46 03.5109801 -81 22 53.811985;4.333;4.128;nan
* gam01 Oct;23 52 06.4731826440 -82 01 07.763587140;6.043;5.106;nan
* gam02 Oct;23 57 32.8617477000 -82 10 11.309684052;6.786;5.724;nan
HD 222806;23 44 40.8645856608 -78 47 29.186076228;6.85;5.738;nan
HD 221420;23 33 19.5789042168 -77 23 07.194545808;6.488;5.806;nan
* eps Tuc;23 59 54.9776152 -65 34 37.680366;4.38;4.47;4.45
HD 222820;23 44 12.0463373040 -64 24 16.027553304;7.116;5.711;nan
* eta Tuc;23 57 35.0786487048 -64 17 53.627347464;5.046;4.989;nan
* pi. Phe;23 58 55.7794835952 -52 44 44.902522824;6.255;5.133;nan
* sig Phe;23 47 15.9964216632 -50 13 35.251982724;5;5.166;nan
* D Cen;12 14 02.69745 -45 43 26.0981;6.74;5.31;nan
* G Cen;12 26 31.7595461 -51 27 02.289947;4.654;4.808;nan
* F Cen;12 18 59.7616790424 -55 08 34.729599228;6.6;5.01;3.72
HD 107543;12 21 57.4276314144 -56 22 27.785548056;7.43;5.884;nan
HD 108732;12 29 54.1991155872 -56 31 29.775471816;7.326;5.776;nan
HD 107696;12 22 49.4317993896 -57 40 34.068874692;5.269;5.366;nan
* gam Cru;12 31 09.95961 -57 06 47.5684;3.23;1.64;-0.02
V* BL Cru;12 27 28.8766637136 -58 59 30.375611628;6.95;5.5;nan
* 35 Cru;12 31 40.3303562544 -59 25 26.124690324;6.19;5.53;nan
* eps Cru;12 21 21.6093625 -60 24 04.129070;5.01;3.59;nan
HD 108250;12 26 30.8829188064 -63 07 20.047147932;4.679;4.822;nan
HD 110432;12 42 50.2663572384 -63 03 31.052981412;5.58;5.31;nan
HD 109000;12 31 56.1120363264 -63 30 21.021535116;6.225;5.946;nan
* bet Mus A;12 46 16.866264 -68 06 29.14884;3.38;3.55;nan
* alf Mus;12 37 11.0178886 -69 08 08.033239;2.484;2.649;nan
* del Mus;13 02 16.2647362 -71 32 55.875239;4.8;3.62;nan
HD 111315;12 49 44.9601736416 -71 59 10.469287716;6.698;5.543;nan
HD 112219;12 56 31.6890976200 -72 11 06.767050308;7.031;5.928;nan
* iot01 Mus;13 25 07.1188965432 -74 53 16.150139880;6.147;5.04;nan
HD 114533;13 14 17.3297199240 -78 26 50.836156224;6.882;5.839;nan
* eta Aps;14 18 13.8958998144 -81 00 27.930594204;5.13;4.889;nan
HD 120213;13 55 38.8756448856 -82 39 58.287116448;7.39;5.94;5.94
* pi.01 Oct;15 01 50.7982798776 -83 13 39.530302896;6.61;5.641;nan
* pi.02 Oct;15 04 46.9232542392 -83 02 17.919512088;6.918;5.645;nan
* del Oct;14 26 55.2324425 -83 40 04.386830;5.615;4.304;nan
* ome Oct;15 11 08.7921401280 -84 47 16.029522816;5.836;5.866;nan
* rho Oct;15 43 16.9283472840 -84 27 54.988795584;5.676;5.568;5.76
* lam Oct;21 50 54.56355 -82 43 08.0450;6.04;5.29;nan
* eps Oct;22 20 01.6796965 -80 26 23.094730;6.433;5.177;nan
* ksi Oct;22 50 22.8139009656 -80 07 25.841844408;5.18;5.311;nan
* psi Oct;22 17 50.5954347336 -77 30 41.598735084;5.784;5.472;nan
HD 217831;23 04 52.2201409680 -68 49 12.812522844;5.894;5.514;nan
V* CG Tuc;23 29 00.9815552856 -63 06 38.359594512;5.51;5.68;nan
HD 220572;23 25 19.4647706184 -56 50 56.341542084;6.661;5.597;nan
HD 220790;23 27 14.9927333112 -58 28 33.990846708;6.619;5.636;nan
HD 222095;23 37 50.9941814 -45 29 32.467174;4.82;4.74;4.63
* tau Cen;12 37 42.1640998080 -48 32 28.699293408;3.91;3.86;3.81
* sig Cen;12 28 02.3820785 -50 13 50.287232;3.72;3.91;4.02
HD 110506;12 43 09.1786206456 -56 10 34.418250804;5.899;5.982;nan
HD 110956;12 46 22.7145960 -56 29 19.736605;4.462;4.62;nan
